TransactionID,AccountID,DateTime,Amount,Currency,Country,MerchantCategory,Channel,FraudPattern,Date,Hour,Weekday
TXN501255,ACC1055,2026-01-01 05:29:00,201.32,USD,India,Electronics,ATM,,2026-01-01,5,Thursday
TXN500274,ACC1012,2026-01-01 06:09:00,67.3,USD,India,Wire Transfer,POS,,2026-01-01,6,Thursday
TXN500063,ACC1002,2026-01-01 09:08:00,24.64,USD,Singapore,Utilities,POS,,2026-01-01,9,Thursday
TXN500892,ACC1038,2026-01-01 12:03:00,105.27,USD,India,Wire Transfer,ATM,,2026-01-01,12,Thursday
TXN501090,ACC1048,2026-01-01 12:48:00,55.88,USD,India,Travel,Online,,2026-01-01,12,Thursday
TXN501237,ACC1054,2026-01-01 13:16:00,301.85,USD,UAE,Retail,Online,,2026-01-01,13,Thursday
TXN501153,ACC1050,2026-01-01 15:18:00,37.52,USD,Singapore,Retail,ATM,,2026-01-01,15,Thursday
TXN501047,ACC1045,2026-01-01 16:34:00,119.95,USD,USA,Retail,Online,,2026-01-01,16,Thursday
TXN500340,ACC1015,2026-01-01 19:01:00,40.15,USD,UAE,Utilities,POS,,2026-01-01,19,Thursday
TXN500562,ACC1024,2026-01-01 21:21:00,431.76,USD,UK,Wire Transfer,Online,,2026-01-01,21,Thursday
TXN500017,ACC1000,2026-01-01 21:56:00,26.8,USD,India,Utilities,ATM,,2026-01-01,21,Thursday
TXN501027,ACC1044,2026-01-01 22:05:00,69.01,USD,UK,Utilities,Online,,2026-01-01,22,Thursday
TXN501323,ACC1057,2026-01-02 03:01:00,62.59,USD,UAE,Travel,ATM,,2026-01-02,3,Friday
TXN501109,ACC1048,2026-01-02 05:49:00,38.04,USD,India,Dining,Online,,2026-01-02,5,Friday
TXN501116,ACC1049,2026-01-02 06:17:00,92.62,USD,USA,Electronics,Online,,2026-01-02,6,Friday
TXN501062,ACC1046,2026-01-02 06:31:00,5.14,USD,India,Travel,ATM,,2026-01-02,6,Friday
TXN501104,ACC1048,2026-01-02 07:09:00,58.81,USD,India,Retail,Online,,2026-01-02,7,Friday
TXN500673,ACC1029,2026-01-02 07:30:00,48.99,USD,UK,Cash Withdrawal,Online,,2026-01-02,7,Friday
TXN500229,ACC1010,2026-01-02 08:07:00,35.03,USD,UK,Online Marketplace,Online,,2026-01-02,8,Friday
TXN500555,ACC1024,2026-01-02 08:24:00,90.36,USD,UK,Electronics,ATM,,2026-01-02,8,Friday
TXN500454,ACC1020,2026-01-02 08:38:00,104.97,USD,UAE,Electronics,Online,,2026-01-02,8,Friday
TXN501182,ACC1052,2026-01-02 09:51:00,233.41,USD,Singapore,Electronics,Online,,2026-01-02,9,Friday
TXN500053,ACC1002,2026-01-02 11:36:00,36.26,USD,Singapore,Electronics,POS,,2026-01-02,11,Friday
TXN500138,ACC1006,2026-01-02 12:12:00,49.91,USD,India,Electronics,POS,,2026-01-02,12,Friday
TXN500217,ACC1009,2026-01-02 13:43:00,33.26,USD,USA,Retail,ATM,,2026-01-02,13,Friday
TXN501054,ACC1046,2026-01-02 14:24:00,84.32,USD,India,Electronics,Online,,2026-01-02,14,Friday
TXN501361,ACC1059,2026-01-02 14:53:00,65.77,USD,India,Electronics,POS,,2026-01-02,14,Friday
TXN501029,ACC1044,2026-01-02 15:04:00,115.83,USD,UK,Electronics,ATM,,2026-01-02,15,Friday
TXN500148,ACC1006,2026-01-02 15:08:00,20.32,USD,India,Utilities,POS,,2026-01-02,15,Friday
TXN500665,ACC1028,2026-01-02 15:44:00,35.11,USD,UAE,Retail,POS,,2026-01-02,15,Friday
TXN500638,ACC1028,2026-01-02 15:52:00,71.24,USD,UAE,Electronics,Online,,2026-01-02,15,Friday
TXN500653,ACC1028,2026-01-02 23:59:00,52.35,USD,UAE,Cash Withdrawal,POS,,2026-01-02,23,Friday
TXN500409,ACC1017,2026-01-03 04:25:00,74.31,USD,USA,Online Marketplace,POS,,2026-01-03,4,Saturday
TXN500731,ACC1031,2026-01-03 06:45:00,79.54,USD,Singapore,Travel,POS,,2026-01-03,6,Saturday
TXN501190,ACC1052,2026-01-03 08:56:00,27.9,USD,Singapore,Wire Transfer,POS,,2026-01-03,8,Saturday
TXN500350,ACC1015,2026-01-03 09:04:00,55.03,USD,UAE,Cash Withdrawal,POS,,2026-01-03,9,Saturday
TXN500749,ACC1032,2026-01-03 09:06:00,38.46,USD,UAE,Electronics,Online,,2026-01-03,9,Saturday
TXN501068,ACC1046,2026-01-03 10:22:00,189.57,USD,India,Dining,ATM,,2026-01-03,10,Saturday
TXN500429,ACC1019,2026-01-03 11:26:00,172.88,USD,USA,Travel,Online,,2026-01-03,11,Saturday
TXN500526,ACC1023,2026-01-03 12:17:00,13.14,USD,UAE,Utilities,POS,,2026-01-03,12,Saturday
TXN500656,ACC1028,2026-01-03 13:00:00,70.34,USD,UAE,Utilities,POS,,2026-01-03,13,Saturday
TXN500839,ACC1035,2026-01-03 13:10:00,161.72,USD,India,Electronics,Online,,2026-01-03,13,Saturday
TXN500093,ACC1004,2026-01-04 02:30:00,35.45,USD,UAE,Electronics,Online,,2026-01-04,2,Sunday
TXN501318,ACC1057,2026-01-04 07:44:00,50.67,USD,UAE,Wire Transfer,ATM,,2026-01-04,7,Sunday
TXN500335,ACC1014,2026-01-04 10:25:00,160.39,USD,UAE,Cash Withdrawal,POS,,2026-01-04,10,Sunday
TXN500752,ACC1032,2026-01-04 10:41:00,19.76,USD,UAE,Travel,ATM,,2026-01-04,10,Sunday
TXN501037,ACC1045,2026-01-04 11:16:00,22.13,USD,USA,Electronics,Online,,2026-01-04,11,Sunday
TXN500581,ACC1025,2026-01-04 11:18:00,90.44,USD,USA,Wire Transfer,POS,,2026-01-04,11,Sunday
TXN501364,ACC1059,2026-01-04 13:03:00,27.78,USD,India,Dining,ATM,,2026-01-04,13,Sunday
TXN500811,ACC1034,2026-01-04 14:18:00,56.36,USD,Singapore,Utilities,Online,,2026-01-04,14,Sunday
TXN500075,ACC1003,2026-01-04 14:25:00,6.31,USD,UAE,Cash Withdrawal,Online,,2026-01-04,14,Sunday
